Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "PMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364428
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4208
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,7/16/15 13:30:00,28.32,85.80,25.75,0.8,3.3,1,804,0.0,4.20
2,7/16/15 13:40:00,29.92,83.70,26.89,0.5,3.3,35,1281,0.0,4.22
3,7/16/15 13:50:00,29.19,82.20,25.87,0.5,2.8,62,814,0.0,4.20
4,7/16/15 14:00:00,29.24,82.00,25.88,0.5,2.3,15,699,0.0,4.20
5,7/16/15 14:10:00,29.11,81.30,25.61,0.5,2.8,25,771,0.0,4.20
6,7/16/15 14:20:00,28.62,82.40,25.35,0.8,2.5,25,471,0.0,4.20
7,7/16/15 14:30:00,28.20,84.60,25.39,0.3,2.3,25,276,0.0,4.20
8,7/16/15 14:40:00,27.60,87.00,25.28,0.0,2.0,10,309,0.2,4.21
9,7/16/15 14:50:00,27.23,89.20,25.33,0.3,2.3,1,421,0.0,4.21
10,7/16/15 15:00:00,27.68,89.60,25.85,0.5,2.5,25,639,0.0,4.21
11,7/16/15 15:10:00,29.26,87.10,26.93,0.0,1.0,51,961,0.0,4.21
12,7/16/15 15:20:00,29.34,83.50,26.28,0.3,1.5,29,649,0.0,4.20
13,7/16/15 15:30:00,28.39,83.10,25.28,0.0,1.5,25,536,0.0,4.20
14,7/16/15 15:40:00,28.17,83.80,25.20,0.0,1.8,344,594,0.0,4.20
15,7/16/15 15:50:00,27.95,84.70,25.16,0.0,0.8,344,466,0.0,4.20
16,7/16/15 16:00:00,27.73,86.20,25.24,0.0,1.0,334,419,0.0,4.20
17,7/16/15 16:10:00,27.78,87.70,25.58,0.0,1.5,307,414,0.0,4.20
18,7/16/15 16:20:00,28.07,87.80,25.89,0.0,0.0,310,419,0.0,4.20
19,7/16/15 16:30:00,28.27,87.60,26.05,0.0,0.0,310,379,0.0,4.20
20,7/16/15 16:40:00,28.42,87.20,26.12,0.0,0.0,295,326,0.0,4.20
21,7/16/15 16:50:00,28.57,86.20,26.07,0.0,0.0,246,274,0.0,4.20
22,7/16/15 17:00:00,28.57,86.70,26.17,0.0,0.0,246,239,0.0,4.20
23,7/16/15 17:10:00,28.34,87.10,26.02,0.0,0.5,247,231,0.0,4.20
24,7/16/15 17:20:00,28.27,87.20,25.97,0.0,0.0,247,206,0.0,4.21
25,7/16/15 17:30:00,28.27,87.20,25.97,0.0,0.0,247,181,0.0,4.21
26,7/16/15 17:40:00,28.34,87.70,26.14,0.0,0.0,247,164,0.0,4.21
27,7/16/15 17:50:00,28.30,87.90,26.13,0.0,0.0,247,134,0.0,4.20
28,7/16/15 18:00:00,28.25,87.10,25.93,0.0,0.0,247,114,0.0,4.20
29,7/16/15 18:10:00,27.95,88.50,25.90,0.0,0.0,247,91,0.0,4.21
30,7/16/15 18:20:00,27.75,89.80,25.96,0.0,0.0,247,71,0.0,4.21
31,7/16/15 18:30:00,27.51,90.50,25.84,0.0,0.0,247,44,0.0,4.21
32,7/16/15 18:40:00,27.28,91.50,25.81,0.0,0.0,247,26,0.0,4.21
33,7/16/15 18:50:00,27.09,92.30,25.76,0.0,0.0,247,14,0.0,4.21
34,7/16/15 19:00:00,26.74,93.60,25.66,0.0,0.0,247,4,0.0,4.21
35,7/16/15 19:10:00,26.60,94.00,25.59,0.0,0.0,247,1,0.0,4.21
36,7/16/15 19:20:00,26.43,95.00,25.59,0.0,0.0,247,1,0.0,4.21
37,7/16/15 19:30:00,26.40,95.10,25.59,0.0,0.0,247,1,0.0,4.21
38,7/16/15 19:40:00,26.30,95.30,25.53,0.0,0.0,247,1,0.0,4.21
39,7/16/15 19:50:00,26.18,95.20,25.39,0.0,0.0,247,1,0.0,4.20
40,7/16/15 20:00:00,26.16,95.30,25.38,0.0,0.0,247,1,0.0,4.21
41,7/16/15 20:10:00,26.16,95.40,25.40,0.0,0.0,247,1,0.0,4.21
42,7/16/15 20:20:00,26.26,94.90,25.41,0.0,0.0,246,1,0.0,4.21
43,7/16/15 20:30:00,26.18,94.70,25.30,0.0,0.0,246,1,0.0,4.21
44,7/16/15 20:40:00,26.11,94.90,25.26,0.0,0.0,246,1,0.0,4.21
45,7/16/15 20:50:00,26.04,94.90,25.19,0.0,0.0,246,1,0.0,4.21
46,7/16/15 21:00:00,26.01,94.80,25.15,0.0,0.0,246,1,0.0,4.21
47,7/16/15 21:10:00,25.94,94.90,25.09,0.0,0.0,246,1,0.0,4.21
48,7/16/15 21:20:00,25.84,95.00,25.01,0.0,0.0,246,1,0.0,4.21
49,7/16/15 21:30:00,25.82,95.40,25.06,0.0,0.0,246,1,0.0,4.21
50,7/16/15 21:40:00,25.67,95.70,24.97,0.0,0.0,246,1,0.0,4.21
51,7/16/15 21:50:00,25.65,96.00,24.99,0.0,0.0,246,1,0.0,4.20
52,7/16/15 22:00:00,25.65,96.30,25.05,0.0,0.0,246,1,0.0,4.21
53,7/16/15 22:10:00,25.57,96.50,25.01,0.0,0.0,246,1,0.0,4.21
54,7/16/15 22:20:00,25.43,96.40,24.85,0.0,0.0,246,1,0.0,4.21
55,7/16/15 22:30:00,25.38,96.50,24.82,0.0,0.0,246,1,0.0,4.21
56,7/16/15 22:40:00,25.23,96.80,24.72,0.0,0.0,246,1,0.0,4.21
57,7/16/15 22:50:00,25.21,97.00,24.73,0.0,0.0,246,1,0.0,4.21
58,7/16/15 23:00:00,25.14,97.20,24.70,0.0,0.0,246,1,0.0,4.21
59,7/16/15 23:10:00,25.16,97.20,24.72,0.0,0.0,246,1,0.0,4.21
60,7/16/15 23:20:00,25.21,97.20,24.77,0.0,0.0,246,1,0.0,4.21
61,7/16/15 23:30:00,25.26,97.20,24.82,0.0,0.0,246,1,0.0,4.21
62,7/16/15 23:40:00,25.33,97.00,24.85,0.0,0.0,246,1,0.0,4.21
63,7/16/15 23:50:00,25.28,96.80,24.77,0.0,0.0,246,1,0.0,4.20
64,7/17/15 00:00:00,25.33,96.80,24.82,0.0,0.0,246,1,0.0,4.21
65,7/17/15 00:10:00,25.28,96.90,24.79,0.0,0.0,246,1,0.0,4.21
66,7/17/15 00:20:00,25.26,97.00,24.78,0.0,0.0,246,1,0.0,4.21
67,7/17/15 00:30:00,25.16,97.20,24.72,0.0,0.0,246,1,0.0,4.21
68,7/17/15 00:40:00,25.09,97.20,24.65,0.0,0.0,246,1,0.0,4.21
69,7/17/15 00:50:00,25.06,97.30,24.64,0.0,0.0,246,1,0.0,4.21
70,7/17/15 01:00:00,25.02,97.40,24.61,0.0,0.0,246,1,0.0,4.21
71,7/17/15 01:10:00,24.92,97.40,24.51,0.0,0.0,246,1,0.0,4.21
72,7/17/15 01:20:00,24.80,97.40,24.39,0.0,0.0,246,1,0.0,4.21
73,7/17/15 01:30:00,24.82,97.60,24.45,0.0,0.0,246,1,0.0,4.21
74,7/17/15 01:40:00,24.73,97.70,24.37,0.0,0.0,246,1,0.0,4.20
75,7/17/15 01:50:00,24.73,97.80,24.39,0.0,0.0,246,1,0.0,4.20
76,7/17/15 02:00:00,24.75,97.80,24.41,0.0,0.0,246,1,0.0,4.21
77,7/17/15 02:10:00,24.73,97.90,24.40,0.0,0.0,246,1,0.0,4.21
78,7/17/15 02:20:00,24.70,98.00,24.40,0.0,0.0,246,1,0.0,4.21
79,7/17/15 02:30:00,24.73,98.00,24.42,0.0,0.0,246,1,0.0,4.21
80,7/17/15 02:40:00,24.65,98.00,24.35,0.0,0.0,246,1,0.0,4.20
81,7/17/15 02:50:00,24.56,98.10,24.27,0.0,0.0,246,1,0.0,4.21
82,7/17/15 03:00:00,24.48,98.20,24.21,0.0,0.0,246,1,0.0,4.21
83,7/17/15 03:10:00,24.44,98.10,24.15,0.0,0.0,246,1,0.0,4.21
84,7/17/15 03:20:00,24.39,98.30,24.13,0.0,0.0,246,1,0.0,4.21
85,7/17/15 03:30:00,24.27,98.30,24.01,0.0,0.0,246,1,0.0,4.21
86,7/17/15 03:40:00,24.27,98.40,24.03,0.0,0.0,246,1,0.0,4.20
87,7/17/15 03:50:00,24.29,98.50,24.07,0.0,0.0,246,1,0.0,4.22
88,7/17/15 04:00:00,24.17,98.60,23.97,0.0,0.0,246,1,0.0,4.20
89,7/17/15 04:10:00,24.15,98.60,23.94,0.0,0.0,246,1,0.0,4.21
90,7/17/15 04:20:00,24.22,98.60,24.02,0.0,0.0,246,1,0.0,4.21
91,7/17/15 04:30:00,24.27,98.70,24.08,0.0,0.0,246,1,0.0,4.21
92,7/17/15 04:40:00,24.22,98.70,24.03,0.0,0.0,246,1,0.0,4.21
93,7/17/15 04:50:00,24.27,98.80,24.10,0.0,0.0,246,1,0.0,4.21
94,7/17/15 05:00:00,24.17,98.80,24.00,0.0,0.0,246,1,0.0,4.21
95,7/17/15 05:10:00,24.27,98.80,24.10,0.0,0.0,246,1,0.0,4.21
96,7/17/15 05:20:00,24.24,98.80,24.07,0.0,0.0,246,6,0.0,4.21
97,7/17/15 05:30:00,24.32,98.80,24.15,0.0,0.0,246,19,0.0,4.21
98,7/17/15 05:40:00,24.39,98.80,24.22,0.0,0.0,246,36,0.0,4.20
99,7/17/15 05:50:00,24.41,98.80,24.24,0.0,0.5,267,54,0.0,4.20
100,7/17/15 06:00:00,24.68,98.70,24.49,0.0,0.0,264,84,0.0,4.21
101,7/17/15 06:10:00,25.55,98.20,25.28,0.0,0.0,264,194,0.0,4.21
102,7/17/15 06:20:00,26.67,96.80,26.16,0.0,0.0,264,281,0.0,4.21
103,7/17/15 06:30:00,27.28,92.50,26.00,0.0,0.0,264,376,0.0,4.20
104,7/17/15 06:40:00,28.10,90.10,26.35,0.0,0.0,264,494,0.0,4.20
105,7/17/15 06:50:00,29.19,87.70,26.97,0.0,0.0,264,569,0.0,4.20
106,7/17/15 07:00:00,28.17,84.40,25.32,0.0,0.8,274,524,0.0,4.20
107,7/17/15 07:10:00,27.23,88.20,25.14,0.0,0.0,275,251,0.0,4.20
108,7/17/15 07:20:00,28.97,87.50,26.71,0.0,0.8,226,699,0.0,4.20
109,7/17/15 07:30:00,29.44,84.80,26.64,0.0,0.5,229,784,0.0,4.20
110,7/17/15 07:40:00,29.69,83.00,26.52,0.0,0.5,232,821,0.0,4.20
111,7/17/15 07:50:00,29.66,81.40,26.17,0.0,0.8,239,869,0.0,4.20
112,7/17/15 08:00:00,30.22,80.70,26.56,0.0,0.8,246,951,0.0,4.20
113,7/17/15 08:10:00,30.65,79.00,26.62,0.0,0.5,253,1016,0.0,4.20
114,7/17/15 08:20:00,30.24,79.30,26.29,0.3,1.5,331,1079,0.0,4.23
115,7/17/15 08:30:00,30.70,79.50,26.77,0.3,1.8,4,1159,0.0,4.20
116,7/17/15 08:40:00,30.92,79.10,26.91,0.5,1.8,347,1261,0.0,4.20
117,7/17/15 08:50:00,31.31,78.00,27.04,0.5,2.0,10,1476,0.0,4.20
118,7/17/15 09:00:00,31.18,76.70,26.63,0.3,1.8,323,1319,0.0,4.20
119,7/17/15 09:10:00,30.90,77.30,26.49,0.5,2.0,15,1144,0.0,4.20
120,7/17/15 09:20:00,29.71,79.90,25.90,0.3,1.8,83,411,0.0,4.20
121,7/17/15 09:30:00,29.99,81.50,26.51,0.3,1.3,31,519,0.0,4.20
122,7/17/15 09:40:00,30.29,81.20,26.74,0.0,1.3,21,814,0.0,4.20
123,7/17/15 09:50:00,31.41,77.90,27.12,0.5,2.5,39,1394,0.0,4.20
124,7/17/15 10:00:00,31.48,77.50,27.10,0.0,1.0,7,1304,0.0,4.20
125,7/17/15 10:10:00,31.56,75.20,26.66,0.0,1.3,4,1251,0.0,4.20
126,7/17/15 10:20:00,30.75,75.70,25.99,0.0,1.5,8,579,0.0,4.20
127,7/17/15 10:30:00,32.18,74.30,27.05,0.0,1.5,27,1686,0.0,4.20
128,7/17/15 10:40:00,30.98,75.50,26.17,0.3,1.8,343,606,0.0,4.20
129,7/17/15 10:50:00,32.12,76.20,27.43,0.5,1.5,6,1509,0.0,4.20
130,7/17/15 11:00:00,31.20,73.80,26.00,0.5,2.0,320,1156,0.0,4.20
131,7/17/15 11:10:00,32.33,72.60,26.80,0.5,2.8,14,1711,0.0,4.20
132,7/17/15 11:20:00,32.59,72.80,27.10,0.5,2.3,319,1851,0.0,4.20
133,7/17/15 11:30:00,33.11,70.60,27.07,0.8,2.5,351,1976,0.0,4.20
134,7/17/15 11:40:00,31.43,72.10,25.83,0.3,1.3,14,569,0.0,4.20
135,7/17/15 11:50:00,31.38,74.20,26.26,0.3,2.5,25,629,0.0,4.20
136,7/17/15 12:00:00,33.37,71.10,27.44,0.3,1.8,11,1531,0.0,4.20
137,7/17/15 12:10:00,32.30,71.40,26.50,0.5,2.5,334,1049,0.0,4.20
138,7/17/15 12:20:00,32.05,71.50,26.27,0.5,2.8,327,906,0.0,4.20
139,7/17/15 12:30:00,33.21,71.10,27.29,0.3,2.5,341,1661,0.0,4.20
140,7/17/15 12:40:00,32.30,68.10,25.69,0.3,1.8,6,991,0.0,4.20
141,7/17/15 12:50:00,32.46,71.00,26.55,0.0,1.3,299,961,0.0,4.20
142,7/17/15 13:00:00,33.31,68.60,26.78,0.0,1.8,22,1526,0.0,4.20
143,7/17/15 13:10:00,32.25,68.40,25.72,0.3,1.5,337,896,0.0,4.20
144,7/17/15 13:20:00,33.39,70.30,27.27,0.3,1.8,355,1501,0.0,4.20
145,7/17/15 13:30:00,32.98,68.90,26.53,0.8,3.0,326,1626,0.0,4.22
146,7/17/15 13:40:00,33.39,69.30,27.03,0.5,3.0,319,1279,0.0,4.20
147,7/17/15 13:50:00,32.25,69.90,26.09,0.3,2.3,327,906,0.0,4.20
148,7/17/15 14:00:00,32.30,72.30,26.71,0.0,1.8,248,594,0.0,4.20
149,7/17/15 14:10:00,32.38,71.70,26.64,0.0,0.8,289,619,0.0,4.20
150,7/17/15 14:20:00,32.64,71.10,26.75,0.0,0.0,256,501,0.0,4.20
151,7/17/15 14:30:00,32.72,71.00,26.80,0.3,1.8,6,924,0.0,4.20
152,7/17/15 14:40:00,33.73,70.00,27.52,0.3,2.0,52,1316,0.0,4.20
153,7/17/15 14:50:00,34.12,66.70,27.07,0.3,2.0,24,1316,0.0,4.20
154,7/17/15 15:00:00,32.00,70.70,26.03,0.8,3.0,42,609,0.0,4.20
155,7/17/15 15:10:00,31.71,74.70,26.70,0.3,2.0,53,444,0.0,4.20
156,7/17/15 15:20:00,27.21,81.70,23.84,1.3,3.5,21,289,3.4,4.20
157,7/17/15 15:30:00,25.77,89.80,24.00,0.5,2.5,101,196,6.8,4.20
158,7/17/15 15:40:00,25.53,92.30,24.22,0.0,0.8,133,176,2.4,4.20
159,7/17/15 15:50:00,25.72,93.30,24.59,0.0,1.8,117,159,2.4,4.20
160,7/17/15 16:00:00,25.96,93.60,24.88,0.0,3.0,157,136,-888.9,4.20
161,7/17/15 16:10:00,25.55,94.70,24.67,0.3,2.5,240,79,-888.9,4.21
162,7/17/15 16:20:00,25.57,95.00,24.75,0.0,0.0,286,146,-888.9,4.21
163,7/17/15 16:30:00,25.57,94.90,24.73,0.0,0.0,355,196,-888.9,4.21
164,7/17/15 16:40:00,25.21,94.60,24.31,0.0,2.0,201,179,-888.9,4.21
165,7/17/15 16:50:00,25.43,94.30,24.48,0.0,1.0,241,201,-888.9,4.21
166,7/17/15 17:00:00,26.06,94.80,25.20,0.0,0.3,185,244,-888.9,4.25
167,7/17/15 17:10:00,25.65,94.50,24.73,0.0,1.3,184,224,-888.9,4.20
168,7/17/15 17:20:00,25.65,93.20,24.50,0.0,1.5,183,146,-888.9,4.20
169,7/17/15 17:30:00,25.89,93.90,24.87,0.0,0.0,178,109,-888.9,4.20
170,7/17/15 17:40:00,25.87,93.70,24.81,0.0,0.0,178,114,-888.9,4.20
171,7/17/15 17:50:00,26.21,94.00,25.20,0.0,0.0,178,131,-888.9,4.20
172,7/17/15 18:00:00,25.82,93.80,24.77,0.0,0.0,178,124,-888.9,4.20
173,7/17/15 18:10:00,25.72,93.20,24.57,0.0,0.0,173,96,-888.9,4.20
174,7/17/15 18:20:00,25.87,93.30,24.73,0.0,0.0,153,64,-888.9,4.20
175,7/17/15 18:30:00,25.82,93.70,24.76,0.0,0.0,153,26,-888.9,4.20
176,7/17/15 18:40:00,25.65,94.40,24.71,0.0,0.0,153,9,-888.9,4.20
177,7/17/15 18:50:00,25.65,94.10,24.66,0.0,1.3,174,6,-888.9,4.20
178,7/17/15 19:00:00,25.45,94.00,24.45,0.0,0.0,178,1,-888.9,4.20
179,7/17/15 19:10:00,25.40,94.20,24.44,0.0,0.0,177,1,-888.9,4.20
180,7/17/15 19:20:00,25.21,94.80,24.35,0.0,0.0,177,1,-888.9,4.22
181,7/17/15 19:30:00,25.31,94.90,24.46,0.0,0.0,175,1,-888.9,4.20
182,7/17/15 19:40:00,25.45,94.50,24.54,0.0,0.0,175,1,-888.9,4.20
183,7/17/15 19:50:00,25.50,94.50,24.59,0.0,0.0,174,1,-888.9,4.20
184,7/17/15 20:00:00,25.62,94.50,24.71,0.0,0.0,167,1,-888.9,4.20
185,7/17/15 20:10:00,25.57,94.40,24.64,0.0,0.0,156,1,-888.9,4.20
186,7/17/15 20:20:00,25.55,95.00,24.72,0.0,0.0,156,1,-888.9,4.20
187,7/17/15 20:30:00,25.53,95.10,24.72,0.0,0.0,156,1,-888.9,4.20
188,7/17/15 20:40:00,25.74,95.10,24.93,0.0,0.0,156,1,-888.9,4.20
189,7/17/15 20:50:00,25.99,94.60,25.09,0.0,0.0,156,1,-888.9,4.20
190,7/17/15 21:00:00,25.91,94.60,25.01,0.0,0.0,156,1,-888.9,4.20
191,7/17/15 21:10:00,25.89,94.90,25.04,0.0,0.3,156,1,-888.9,4.20
192,7/17/15 21:20:00,26.13,94.60,25.23,0.0,0.0,156,1,-888.9,4.20
193,7/17/15 21:30:00,25.91,94.50,25.00,0.0,0.0,156,1,-888.9,4.20
194,7/17/15 21:40:00,25.62,95.10,24.81,0.0,0.0,156,1,-888.9,4.20
195,7/17/15 21:50:00,25.65,95.30,24.87,0.0,1.0,156,1,-888.9,4.20
196,7/17/15 22:00:00,25.84,94.80,24.98,0.0,0.5,156,1,-888.9,4.20
197,7/17/15 22:10:00,25.62,94.40,24.69,0.0,1.3,142,1,-888.9,4.20
198,7/17/15 22:20:00,25.74,94.50,24.83,0.0,1.5,7,1,-888.9,4.20
199,7/17/15 22:30:00,25.55,94.90,24.70,0.0,0.5,3,1,-888.9,4.20
200,7/17/15 22:40:00,25.62,95.40,24.87,0.0,0.3,3,1,-888.9,4.20
201,7/17/15 22:50:00,25.84,95.10,25.03,0.0,1.0,6,1,-888.9,4.20
202,7/17/15 23:00:00,25.77,94.60,24.87,0.0,0.0,13,1,-888.9,4.23
203,7/17/15 23:10:00,25.77,94.50,24.85,0.0,0.0,13,1,-888.9,4.20
204,7/17/15 23:20:00,25.48,95.20,24.68,0.0,0.0,13,1,-888.9,4.20
205,7/17/15 23:30:00,25.38,95.70,24.68,0.0,0.0,13,1,-888.9,4.20
206,7/17/15 23:40:00,25.31,95.90,24.64,0.0,0.0,13,1,-888.9,4.20
207,7/17/15 23:50:00,25.31,95.90,24.64,0.0,0.0,13,1,-888.9,4.20
208,7/18/15 00:00:00,25.31,96.20,24.69,0.0,0.0,13,1,-888.9,4.20
209,7/18/15 00:10:00,25.36,96.20,24.74,0.0,0.0,13,1,-888.9,4.20
210,7/18/15 00:20:00,25.38,96.20,24.76,0.0,0.0,13,1,-888.9,4.20
211,7/18/15 00:30:00,25.26,96.20,24.64,0.0,0.0,13,1,-888.9,4.20
212,7/18/15 00:40:00,25.28,96.30,24.68,0.0,0.0,13,1,-888.9,4.20
213,7/18/15 00:50:00,25.16,96.40,24.58,0.0,0.0,13,1,-888.9,4.20
214,7/18/15 01:00:00,25.11,96.40,24.53,0.0,0.0,13,1,-888.9,4.20
215,7/18/15 01:10:00,25.09,96.20,24.47,0.0,0.0,13,1,-888.9,4.20
216,7/18/15 01:20:00,25.02,95.90,24.35,0.0,0.0,13,1,-888.9,4.20
217,7/18/15 01:30:00,24.97,96.00,24.32,0.0,0.0,13,1,-888.9,4.20
218,7/18/15 01:40:00,24.85,96.10,24.21,0.0,0.0,13,1,-888.9,4.20
219,7/18/15 01:50:00,24.85,95.90,24.18,0.0,0.0,13,1,-888.9,4.20
220,7/18/15 02:00:00,24.56,96.10,23.93,0.0,0.0,13,1,-888.9,4.20
221,7/18/15 02:10:00,24.46,96.80,23.95,0.0,0.0,13,1,-888.9,4.20
222,7/18/15 02:20:00,24.65,97.20,24.21,0.0,0.0,13,1,-888.9,4.20
223,7/18/15 02:30:00,24.65,97.70,24.30,0.0,0.0,13,1,-888.9,4.20
224,7/18/15 02:40:00,24.65,97.70,24.30,0.0,0.0,13,1,-888.9,4.20
225,7/18/15 02:50:00,24.60,97.80,24.27,0.0,0.0,13,1,-888.9,4.20
226,7/18/15 03:00:00,24.51,97.90,24.19,0.0,0.0,13,1,-888.9,4.20
227,7/18/15 03:10:00,24.60,97.90,24.28,0.0,0.0,13,1,-888.9,4.20
228,7/18/15 03:20:00,24.56,97.90,24.24,0.0,0.0,13,1,-888.9,4.20
229,7/18/15 03:30:00,24.48,97.90,24.16,0.0,0.0,13,1,-888.9,4.20
230,7/18/15 03:40:00,24.41,97.90,24.09,0.0,0.0,13,1,-888.9,4.20
231,7/18/15 03:50:00,24.53,97.80,24.19,0.0,0.0,13,1,-888.9,4.20
232,7/18/15 04:00:00,24.36,97.80,24.03,0.0,0.0,13,1,-888.9,4.20
233,7/18/15 04:10:00,24.29,97.70,23.94,0.0,0.0,13,1,-888.9,4.20
234,7/18/15 04:20:00,24.32,97.80,23.98,0.0,0.0,13,1,-888.9,4.20
235,7/18/15 04:30:00,24.34,97.90,24.02,0.0,0.0,13,1,-888.9,4.20
236,7/18/15 04:40:00,24.34,98.10,24.05,0.0,0.0,13,1,-888.9,4.20
237,7/18/15 04:50:00,24.27,98.10,23.98,0.0,0.0,13,1,-888.9,4.20
238,7/18/15 05:00:00,24.15,98.10,23.86,0.0,0.0,13,1,-888.9,4.20
239,7/18/15 05:10:00,24.19,98.20,23.93,0.0,0.0,13,1,-888.9,4.22
240,7/18/15 05:20:00,24.19,98.20,23.93,0.0,0.0,13,9,-888.9,4.20
241,7/18/15 05:30:00,24.12,98.30,23.87,0.0,0.0,13,21,-888.9,4.20
242,7/18/15 05:40:00,24.19,98.30,23.94,0.0,0.0,13,36,-888.9,4.20
243,7/18/15 05:50:00,24.41,98.30,24.16,0.0,0.0,13,54,-888.9,4.20
244,7/18/15 06:00:00,24.68,98.30,24.42,0.0,0.0,13,81,-888.9,4.20
245,7/18/15 06:10:00,25.36,98.00,25.05,0.0,0.0,13,164,-888.9,4.20
246,7/18/15 06:20:00,26.06,96.10,25.42,0.0,0.0,13,276,-888.9,4.20
247,7/18/15 06:30:00,27.23,91.70,25.80,0.0,0.0,13,346,-888.9,4.20
248,7/18/15 06:40:00,27.83,87.70,25.63,0.0,0.0,20,416,-888.9,4.20
249,7/18/15 06:50:00,28.10,86.50,25.66,0.0,0.0,131,486,-888.9,4.20
250,7/18/15 07:00:00,29.59,84.80,26.79,0.0,0.0,131,556,-888.9,4.20
251,7/18/15 07:10:00,29.29,82.20,25.97,0.0,0.8,187,621,-888.9,4.19
252,7/18/15 07:20:00,29.61,81.60,26.16,0.0,0.5,260,686,-888.9,4.20
253,7/18/15 07:30:00,29.89,79.10,25.90,0.0,0.5,260,751,-888.9,4.20
254,7/18/15 07:40:00,30.44,76.70,25.92,0.0,0.5,260,816,-888.9,4.20
255,7/18/15 07:50:00,30.52,73.90,25.36,0.0,1.0,260,884,-888.9,4.20
256,7/18/15 08:00:00,30.39,73.90,25.24,0.0,1.0,261,949,-888.9,4.20
257,7/18/15 08:10:00,30.75,75.00,25.83,0.0,1.3,263,1011,-888.9,4.20
258,7/18/15 08:20:00,31.03,74.50,25.99,0.0,1.3,348,1069,-888.9,4.20
259,7/18/15 08:30:00,31.66,74.60,26.63,0.0,0.3,326,1129,-888.9,4.20
260,7/18/15 08:40:00,31.43,73.00,26.04,0.0,1.3,344,1184,-888.9,4.20
261,7/18/15 08:50:00,31.79,71.70,26.07,0.0,1.3,10,1244,-888.9,4.20
262,7/18/15 09:00:00,32.72,70.80,26.75,0.0,1.3,355,1291,-888.9,4.20
263,7/18/15 09:10:00,32.30,70.00,26.16,0.0,1.0,1,1341,-888.9,4.19
264,7/18/15 09:20:00,31.84,70.00,25.72,0.3,2.3,21,1391,-888.9,4.20
265,7/18/15 09:30:00,31.43,69.80,25.28,0.3,2.0,18,1434,-888.9,4.20
266,7/18/15 09:40:00,32.43,70.10,26.31,0.3,1.8,25,1476,-888.9,4.20
267,7/18/15 09:50:00,32.54,69.50,26.26,0.0,1.8,333,1524,-888.9,4.20
268,7/18/15 10:00:00,32.18,68.60,25.69,0.5,2.0,8,1561,-888.9,4.20
269,7/18/15 10:10:00,32.79,69.60,26.53,0.5,2.8,330,1606,-888.9,4.20
270,7/18/15 10:20:00,32.66,69.20,26.31,0.5,2.5,10,1644,-888.9,4.20
271,7/18/15 10:30:00,32.77,69.50,26.48,0.5,3.0,330,1686,-888.9,4.20
